accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.5638,-0.00019999999999997797,0.5638000000000001,-0.00020000000000000017,cifar100_strict,0.09595170150355892,2014,1605,0.9040482984964411,0.09680317121700066,0.562770606079156,msp,1,0.5636,0.5636000000000001,0.1,2,"[0.1698, 0.8302]",5000,63,target,0.9960346994462443,matched_compute,0.020000000000000018
0.5628,-0.00039999999999995595,0.5628000000000001,-0.00040000000000000034,cifar100_strict,0.09526634940821732,2078,1614,0.9047336505917827,0.09611904986564379,0.5620525205670328,msp,0,0.5624,0.5624,0.1,2,"[0.1686, 0.8314]",5000,64,target,0.9960346994462443,matched_compute,0.0
0.5714,0.0,0.5714,0.0,cifar100_strict,0.09321029312219242,2083,1533,0.9067897068778076,0.09406668581157307,0.5697643701033708,msp,0,0.5714,0.5714,0.1,0,"[0.165, 0.835]",5000,65,target,0.9960346994462443,matched_compute,0.0
0.5686,-0.0048000000000000265,0.5686,-0.004799999999999998,cifar100_strict,0.19978254394781658,1301,1599,0.8002174560521834,0.20044755594757035,0.5663389730733421,msp,16,0.5638,0.5638000000000001,0.2,40,"[0.3516, 0.6484]",5000,60,source,0.939380182313185,matched_compute,0.039999999999999925
0.5748,-0.008599999999999941,0.5748000000000001,-0.008599999999999998,cifar100_strict,0.20149592418617057,1277,1615,0.7985040758138294,0.20215785932596253,0.5722224575026192,msp,10,0.5662,0.5662000000000001,0.2,53,"[0.3546, 0.6454]",5000,61,source,0.939380182313185,matched_compute,0.020000000000000018
0.5722,-0.005800000000000027,0.5721999999999999,-0.005800000000000002,cifar100_strict,0.19875451580480408,1302,1570,0.8012454841951959,0.19942137392053494,0.5701202761130384,msp,16,0.5664,0.5664,0.2,45,"[0.3498, 0.6502]",5000,62,source,0.939380182313185,matched_compute,0.03999999999999998
0.5692,-0.005600000000000049,0.5692,-0.005599999999999998,cifar100_strict,0.19647000882033194,1282,1605,0.8035299911796681,0.197140969416012,0.5681271419021288,msp,11,0.5636,0.5636000000000001,0.2,39,"[0.3458, 0.6542]",5000,63,target,0.939380182313185,matched_compute,0.020000000000000018
0.5708,-0.008399999999999963,0.5708000000000001,-0.008400000000000001,cifar100_strict,0.2020670509322886,1312,1614,0.7979329490677114,0.2027279604520933,0.5696826622234954,msp,15,0.5624,0.5624,0.2,57,"[0.3556, 0.6444]",5000,64,target,0.939380182313185,matched_compute,0.020000000000000018
0.5756,-0.0041999999999999815,0.5756,-0.004199999999999998,cifar100_strict,0.19978254394781658,1317,1533,0.8002174560521834,0.20044755594757035,0.5735215228231574,msp,15,0.5714,0.5714,0.2,36,"[0.3516, 0.6484]",5000,65,target,0.939380182313185,matched_compute,0.020000000000000018
0.5752,-0.011400000000000077,0.5751999999999999,-0.0114,cifar100_strict,0.3033849356936268,765,1599,0.6966150643063732,0.3038639002276877,0.572547697303631,msp,75,0.5638,0.5638000000000001,0.3,132,"[0.533, 0.46699999999999997]",5000,60,source,0.7866218979286979,matched_compute,0.07999999999999996
0.5808,-0.014599999999999946,0.5808,-0.0146,cifar100_strict,0.29379000635884395,803,1615,0.7062099936411561,0.2942862013086911,0.5784176266227347,msp,49,0.5662,0.5662000000000001,0.3,122,"[0.5162, 0.4838]",5000,61,source,0.7866218979286979,matched_compute,0.040000000000000036
